NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
-25	0	0	0	0	0	0	0	0	0	1	2
-20	0	0	0	0	0	0	0	0	1	2	4
-15	0	0	0	0	0	0	1	1	2	5	8
-10	0	0	0	0	0	1	1	3	5	8	11
-5	0	0	0	0	1	1	3	6	9	12	17
0	0	0	0	1	2	4	6	9	13	17	23
5	0	0	1	2	4	7	9	14	18	24	30
10	0	1	2	4	7	10	14	19	24	31	37
15	1	2	5	8	11	15	20	25	32	38	45
20	3	5	8	11	16	21	26	33	39	46	52
25	6	9	12	16	22	27	34	40	46	53	60
