NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
0.75	2	5	12	27	34	43	55	67	78	95	113
0.8	1	2	7	18	29	37	45	60	69	81	96
0.85	1	2	3	10	24	32	41	49	62	73	84
0.9	1	2	2	6	16	28	35	43	54	64	76
0.95	1	1	2	3	10	22	31	39	47	57	68
1	0	1	2	2	6	15	27	34	43	52	61
1.05	0	1	1	2	3	11	22	30	39	47	56
1.1	0	1	1	2	2	6	16	27	34	44	52
1.15	0	0	1	2	2	4	12	22	30	40	50
1.2	0	0	1	1	2	3	7	16	27	36	46
1.25	0	0	0	1	2	2	5	13	22	32	42
