NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
0.75	28	32	36	39	43	47	57	73	84	92	98
0.8	27	29	32	36	40	44	51	63	78	87	94
0.85	26	28	30	33	37	41	46	55	67	81	89
0.9	26	27	29	32	35	38	42	50	60	74	84
0.95	25	27	28	30	33	36	40	46	54	65	78
1	24	26	28	29	31	34	39	42	50	59	72
1.05	24	26	27	29	30	33	37	40	47	55	65
1.1	24	25	27	28	29	32	35	39	44	52	60
1.15	23	25	26	28	29	30	33	38	42	49	56
1.2	23	24	26	27	29	29	32	36	40	47	53
1.25	22	24	25	27	28	29	31	34	39	44	51
