NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
0.75	29	34	39	44	51	57	65	72	79	85	94
0.8	24	29	34	40	45	51	58	65	71	79	85
0.85	20	26	30	35	41	46	52	59	65	72	78
0.9	18	22	27	31	37	42	48	53	60	67	73
0.95	15	19	24	28	33	38	43	49	55	61	68
1	13	17	21	25	29	34	39	45	50	56	62
1.05	11	14	18	22	26	31	36	41	46	53	58
1.1	9	13	16	20	24	28	32	37	43	49	55
1.15	8	11	14	18	22	26	30	34	39	46	51
1.2	7	10	13	16	20	24	28	32	36	41	47
1.25	7	9	11	14	18	21	25	29	34	38	44
